aachen	Аахен
sokolsko	Соколско
koriten	Коритен
velino	Велино
korkina	Коркина
kormisosh	Кормисош
kormjansko	Кормянско
kormyansko	Кормянско
kornica	Корница
kornitsa	Корница
korova	Корова
korten	Кортен
kortrijk	Кортрейк
kosacha	Косача
kosara	Косара
voynyagovo	Войнягово
k'oseva	Кьосева
k'osevo	Кьосево
zidarovo	Зидарово
ticha	Тича
kosharevo	Кошарево
kosharica	Кошарица
kosharinska	Кошаринска
straubing	Страубинг
kosharitsa	Кошарица
kosharna	Кошарна
koshava	Кошава
koshnichari	Кошничари
koshnitsa	Кошница
koshov	Кошов
koshuta	Кошута
koshute	Кошуте
kosice	Кошице
kosilka	Косилка
kos	Кос
kosmata	Космата
zamfir	Замфир
kosovets	Косовец
kosovite	Косовите
kosovo	Косово
kostadinite	Костадините
kostandenec	Костанденец
kostandenets	Костанденец
kostandovo	Костандово
kostelevo	Костелево
kostel	Костел
kostenec	Костенец
kostenets	Костенец
kostenkovtsi	Костенковци
kosten	Костен
tsatsarovtsi	Цацаровци
tsurvishte	Цървище
kostievo	Костиево
zelenigrad	Зелениград
kostilkovo	Костиково
kostinbrod	Костинброд
kostino	Костино
kostovtsi	Костовци
kosturino	Костурино
kosturintsi	Костуринци
kostur	Костур
tekirdag	Родосто
kotenovtsi	Котеновци
kotlari	Котлари
kotlenci	Котленци
kotlentsi	Котленци
kotovtsite	Котовците
toshevtsi	Тошевци
koulamoutou	Куламуту
kovachevci	Ковачевци
vrabevo	Врабево
kovachevets	Ковачевец
kovachevitsa	Ковачевица
kovachevo	Ковачево
kovachevtsi	Ковачевци
kovachica	Ковачица
tikale	Тикале
strazhitsa	Стражица
sveshhari	Свещари
kovandzhiite	Кованджиите
kovil	Ковил
koychovtsi	Койчовци
koynare	Койнаре
sokolovo	Соколово
kozani	Кожани
kozanovo	Козаново
kozare	Козаре
kozarevec	Козаревец
kozarevets	Козаревец
kozarevo	Козарево
kozarka	Козарка
kozarsko	Козарско
kozhari	Кожари
kozhintsi	Кожинци
kozhlyuvtsi	Кожлювци
kozhukhartsi	Кожухарци
kozica	Козица
kozichino	Козичино
kozino	Козино
kozitsa	Козица
kozjak	Козяк
kozlec	Козлец
kozlets	Козлец
kozlevo	Козлево
kozlodujci	Козлодуйци
kozloduy	козлодуй
thessaloniki	Солун
kozlovec	Козловец
kozlovets	Козловец
koznitsa	Козница
kozyak	Козяк
trintchovitza	Трънчовица
venice	Венеция
tseretelevo	Церетелево
kragujevac	Крагуевац
kraishhe	Краище
yoakim-gruevo	Йоаким-Груево
krajgorci	Крайгорци
krajnici	Крайници
krakow	Краков
tvurditsa	Твърдица
kralevdol	Кралевдол
kralevo	Кралево
veliko	Велико
yalbotina	Ялботина
kranevo	Кранево
kran	Кран
kranovo	Краново
krantovtsi	Крантовци
krapchene	Крапчене
krapec	Крапец
krapets	Крапец
krasava	Красава
krasen	Красен
krasimir	Красимир
vurbovchets	Върбовчец
krasnogor	Красногор
krasnoselci	Красноселци
krasnoseltsi	Красноселци
krasnovo	Красново
kravino	Кравино
kravoder	Краводер
kraygortsi	Крайгорци
krayna	Крайна
kraynitsi	Крайнинци
kraynovo	Крайново
yana	Яна
krefeld	Крефелд
vetrushka	Ветрушка
kremene	Кремене
visegrad	Вишеград
trapoklovo	Трапоклово
kremenitsa	Кременица
kremen	Кремен
svetlya	Светля
turku	Турку
stremtsi	Стремци
struino	Струино
yanino	Янино
kresna	Кресна
kreta	Крета
kribul	Крибул
krichim	Кричим
krilatica	Крилатица
krilatitsa	Крилатица
krilyuvtsi	Крилювци
krin	Крин
krislovo	Крислово
kristiansand	Кристиансанд
krivenik	Кръвеник
krivica	Кривица
krivina	Кривина
krivini	Кривини
vrabtsite	Врабците
krivnja	Кривня
krivnya	Кривня
svezhen	Свежен
yabulchevo	Ябълчево
stojkite	Стойките
krojach	Крояч
kromidovo	Кромидово
kroyachevo	Кроячево
kroyach	Крояч
kroyatsi	Крояци
krukozhabene	Кръкожабене
krumchevtsi	Крумчевци
krum	Крум
vilnius	Вилнюс
krumovo	Крумово
kruncha	Крънча
krundzhilitsa	Крънджилица
krun	Крън
krupen	Крупен
krupnik	Крупник
krusevac	Крушевац
krushaka	Крушака
stremci	Стремци
krushare	Крушаре
krushari	Крушари
krushata	Крушата
krusheto	Крушето
starchevo	Старчево
krushevets	Крушевец
krushevo	Крушево
krushevska	Крушевска
vurbyane	Върбяне
krushno	Кръшно
krusholak	Крушолак
krushovene	Крушовене
krushovica	Крушовица
krushovitsa	Крушовица
krushovo	Крушово
krushuna	Крушуна
krustatitsa	Кръстатица
krustava	Кръстава
krustenyatsite	Кръстеняците
sredishhe	Средище
krustevich	Кръстевич
sredska	Средска
vitoria-gasteiz	Витория
krustina	Кръстина
kruvenik	Кръвеник
kryakovtsi	Кряковци
kubadin	Кубадин
kubas	Кубаш
kubrat	Кубрат
kubratovo	Кубратово
kucina	Куцина
kudelin	Куделин
kukes	Кукъс
kuklen	Куклен
kuklica	Къклица
kuklitsa	Къклица
kuklya	Кукля
vuzchukar	Въжчукар
kukovtsi	Куковци
kukurakhtsevo	Кукурахчето
yabulkovtsi	Ябълковци
kukuryak	Кукуряк
kukuvitsa	Кукувица
totleben	Тотлебен
kulata	Кулата
tlachene	Тлачене
stanford	Станфорд
kumanite	куманите
kumanovo	Куманово
kumanovtsi	Кумановци
kumaritsa	Кумарица
kumbaska	Кумбаска
kunchevo	Кънчево
kundevo	Кундево
tserovo	Церово
tampere	Тампере
kuopio	Куопио
kupen	Купен
kupinets	Къпинец
kupinovci	Къпиновци
viden	Виден
kupinovtsi	Къпиновци
kuptsite	Купците
kurchovsko	Кърчовско
kurdzhali	Кърджали
kurilo	Курило
kurlanovo	Кърланово
voluyak	Волуяк
kurnare	Кърнаре
kurnovo	Курново
windhoek	Виндхук
kurpachevo	Кърпачево
strelets	Стрелец
kurshalevo	Кършалево
kursk	Курск
kurtovo	Куртово
kurtozhabene	Къртожабене
kurulezite	курулезите
kusadasi	Кушадасъ
kusak	Късак
sredishte	Средище
kushla	Кушла
kushle	Къшле
todorcheta	Тодорчета
kushushlek	Кушушлек
svishtov	Свищов
kusovtsi	Късовци
suceava	Сучава
turnovci	Търновци
kutina	Кътина
suvorovo	Суворово
kutlovitsa	Кутловица
kutovo	Кутово
kutsarovtsi	Куцаровци
kutsina	Куцина
zhelyazno	Желязно
kutsovo	Кустово
zhelezna	Железна
kuz'ovo	Кузово
kyoto	Киото
kyulevcha	Кюлевча
kyustendil	Кюстендил
labets	Лабец
topolyane	Тополяне
lagerite	Лагерите
lagoshevtsi	Лагошевци
lagos	Лагос
vratitsa	Вратица
lakatnik	Лакатник
lale	Лале
lalkovo	Лалково
lambovtsi	Ламбовци
strizhba	Стрижба
lancaster	Ланкастър
lapadets	Лападец
lapavishkovtsi	Лапавишковци
larnaca	Ларнака
laskarevo	Ласкарево
laskar	Ласкар
sopovo	Сопово
lausanne	Лозана
lazar	Лазар
lazarovo	Лазарово
lazartsi	Лазарци
lebed	Лебед
tsonevska	Цоневска
lebnitsa	Лебница
lecce	Лече
lechevtsi	Лечевци
ledenik	Леденик
tvurdintsi	Твърдинци
vojvoda	Войвода
leipzig	Лайпциг
totyuvtsi	Тотювци
lekhovo	Лехово
lelintsi	Лелинци
lelystad	Лелистад
lenishhe	Ленище
lenishte	Ленище
lenkovo	Ленково
lenovo	Леново
lensko	Ленско
sokolyane	Соколяне
lepica	Лепица
lepitsa	Лепица
leshhak	Лещак
leshharka	Лещарка
veleshani	Велешани
leshko	Лешко
leshnica	Лешница
leshnikovo	Лешниково
leshnikovtsi	Лешниковци
leshnitsa	Лешница
staropatitsa	Старопатица
leshtarka	Лещарка
leshten	Лещен
lesicharka	Лесичарка
lesiche	Лесиче
szeged	Сегед
lesichevo	Лесичово
lesidren	Лесидрен
leska	Леска
leskovac	Лесковац
zajecar	zaychar
leskovets	Лесковец
leskovitsa	Лесковица
leskovo	Лесково
lesnovo	Лесново
ushuaia	Ушуая
lesura	Лесура
sudievo	Съдиево
letovnik	Летовник
leuven	Льовен
levka	Левка
teplen	Теплен
levski	Левски
levunovo	Левуново
leyarovo	Леярово
lhasa	Лхаса
liberec	Либерец
libreville	Либървил
libya	Либийска Арабска Джамахирия
liege	Лиеж
trajkovo	Трайково
lilekovo	Лилеково
liljache	Лиляче
liljak	Лиляк
liljanovo	Лиляново
lilkovo	Ликово
lille	Лил
lilyache	Лиляче
lilyach	Лиляч
lilyak	Лиляк
lilyanovo	Лиляново
trunchovica	Трънчовица
limassol	Лимасол
tauranga	Тауранга
limets	Лимец
limoges	Лимож
linz	Линц
lipen	Липен
lipets	Липец
lipintsi	Липинци
lipnica	Липница
lipnik	Липник
lipnitsa	Липница
lisbon	Лисабон
lisec	Лисец
lisets	Лисец
lisitsite	Лисиците
lisiya	Лисия
lisovo	Лисово
listec	Листец
listets	Листец
litakovo	Литаково
livada	Ливада
livadeto	Ливадето
livadkite	Ливадките
livermore	Ливърмор
liverpool	Ливърпул
livno	Ливно
livorno	Ливорно
zlatovrukh	Златовръх
vasilevo	Василево
ljaskovo	Лясково
swietochlowice	Швиентохловице
ljubcha	Любча
ljubenec	Любенец
ljuben	Любен
ljubenovo	Любеново
vitina	Витина
sukhozem	Сухозем
turnovets	Търновец
ljulin	Люлин
ljuljakovo	Люляково
ljutibrod	Лютиброд
zheravino	Жеравино
lobosh	Лобош
tsurkvitsa	Църквица
lodi	Лоди
lodz	Лодз
logodash	Логодаш
logodazh	Логодаж
vladislavtsi	Владиславци
lokorsko	Локорско
vozartsi	Вожарци
lomati	Ломът
sosnowiec	Сосновец
lomec	Ломец
vlore	Вльора
lom	Лом
lomnica	Ломница
lomnitsa	Ломница
lomtsi	Ломци
zlatoustovo	Златоустово
lopjan	Лопян
srednevo	Среднево
trstenik	Тръстеник
stroyno	Стойно
lopyan	Лопян
louisville	Луивил
lovchanci	Ловчанци
vurlina	Върлина
lovci	Ловци
lovech	Ловеч
turkhovo	Търхово
tintjava	Тинтява
lovnidol	Ловнидол
lovsko	Ловско
lovtsi	Ловци
lovtsite	Ловците
loza	Лоза
lozarevo	Лозарево
lozenec	Лозенец
lozenets	Лозенец
yalovo	Ялово
lozengradtsi	Лозенградци
lozenitsa	Лозеница
zgurovo	Згурово
lozeto	Лозето
velikovo	Великово
lozheto	Лозето
lozica	Лозица
lozitsa	Лозица
loznitsa	Лозница
lozno	Лозно
lublin	Люблин
lucca	Лука
ludogorci	Лудогорци
vurba	Върба
ludvika	Лудвика
zvunika	Звъника
ludzhene	Лъджене
luga	Лъга
luka	Лъка
lukata	Лъката
lukavitsa	Лъкавица
luki	Лъки
lukovit	Луковит
lukovitsa	Луковица
sredkovec	Средковец
luleburgaz	Люлебургаз
lulichka	Луличка
lulitsa	Лулица
lumava	Лъмава
topchijsko	Топчийско
lusaka	Лусака
luvino	Лъвино
luvovo	Лъвово
luvska	Лъвска
tjanevo	Тянево
luzhnica	Лъжница
luzhnitsa	Лъжница
l'viv	Лвов
lyakhovo	Ляхово
lyalintsi	Лялинци
lyaskovets	Лясковец
lyaskovo	Лясково
umnitsite	Умниците
lyon	Лион
lyubcha	Любча
tavalichevo	Таваличево
varana	Варана
lyubenovo	Любеново
lyubentsi	Любенци
lyubichevo	Любичево
lyubimets	Любимец
lyubino	Любино
terziite	Терзиите
lyublen	Любен
lyubnitsa	Любница
lyubovishte	Любовище
stublitsa	Стублица
yazdirastovtsi	Яждрасовци
lyulin	Люлин
lyulka	Люлка
lyulyak	Люляк
zlidol	Злидол
lyutadzhik	Лютаджик
lyutatsi	Лютаци
lyuteglav	Лютеглав
lyutibrod	Лютиброд
lyutidol	Лютидол
stefanovo	Стефаново
machkovtsi	Мачковци
macon	Макон
madan	Мадан
madara	Мадара
madison	Медисън
madrid	Мадрид
madzhare	Маджаре
surnino	Сърнино
madzharovo	Маджарово
madzherito	Маджерито
magardzhitsa	Магарджица
magdeburg	Магдебург
magerovi	Магерови
mahilyow	Могилев
mainz	Майнц
maiori	Майори
majsko	Майско
makak	Макак
zagorci	Загорци
makedonci	Македонци
makedonka	Македонка
makedontsi	Македонци
makhalata	Махалата
makhalnitsi	Махалници
vulchek	Вълчек
makhmutovtsi	Махмутовци
yamborano	Ямборано
makokou	Макоку
makotsevo	Макоцево
makovo	Маково
makresh	Макреш
sokolovtsi	Соколовци
malashevtsi	Малашевци
tompsun	Томпсън
malchika	Малчика
malchovtsi	Малчовци
malenovo	Маленово
malevo	Малево
malina	Малина
volovo	Волово
malino	Малино
malinovo	Малиново
stanintsi	Станинци
zhedna	Жедна
malmoe	Малмьо
malogradets	Малоградец
malomir	Маломир
malomirovo	Маломирово
malorad	Малорад
zornitsa	Зорница
malusha	Малуша
mamarchevo	Мамарчево
managua	Манагуа
zheglitsa	Жеглица
vurbnitsa	Върбница
manastirishhe	Манастирище
manastirishte	Манастирище
manastiritsa	Манастирица
staropatica	Старопатица
manastirsko	Манастирско
manastirtsi	Манастирци
zhitarnik	Житарник
tyurkmen	Тюркмен
mandra	Мандра
mandritsa	Мандрица
vranyak	Враняк
manila	Манила
manisa	Маниса
manizales	Манисалес
mannheim	Манхайм
manole	Маноле
manolich	Манолич
manolovo	Манолово
manoya	Маноя
manushevtsi	Манушевци
maqellare	Макеларе
maracaibo	Маракаибо
marafeltsi	Марафелци
maranello	Маранело
marash	Мараш
vardim	Вардим
marchevo	Марчево
marchino	Марчинао
margovtsi	Марговци
maribor	Марибор
trondheim	Трондхайм
mariefred	Мариефред
marikostinovo	Марикостиново
marinito	Маринито
marinka	Маринка
marino	Марино
marinovtsi	Мариновци
marishnitsa	Маришница
maritsa	Марица
mariyno	Марийно
markovo	Марково
taiwan	Тайван
stanec	Станец
marseille	Марсилия
marten	Мартен
martinique	Мартиника
martino	Мартино
martinovo	Мартиново
martinska	Мартинска
marulevo	Марулево
marutsekovtsi	Маруцековци
maryan	Марян
maryland	Мериленд
trustika	Тръстика
maslarevo	Масларево
maslinovo	Маслиново
maslovo	Маслово
mateshovtsi	Матешовци
matochina	Маточина
matovtsi	Матовци
matsa	Маца
mavrokhorion	Тисово
mayotte	Мейот
maysko	Майско
maystorovo	Майсторово
maytanyatsi	Майтаняци
suevo	Съево
mazyr	Мозир
mbabane	Мбабане
mecca	Мека
mechka	Мечка
mechkarevo	Мечкарево
mechkovitsa	Мечковица
zhrebichko	Жребичко
mechkovtsi	Мечковци
mechkul	Мечкул
mechovo	Мечово
mechovtsi	Мечовци
medan	Медан
medellin	Меделин
medeshevtsi	Медешевци
medevci	Медевци
medevtsi	Медевци
medina	Медина
medkovets	Медковец
mednikarovo	Медникарово
medovec	Медовец
medovene	Медовене
medovets	Медовец
medovina	Медовина
medovnitsa	Медовница
medovo	Медово
medven	Медвен
meknes	Мекнес
melbourne	Мелбърн
zagreb	Загреб
melnica	Мелница
melnik	Мелник
melnitsa	Мелница
melyane	Меляне
memphis	Мемфис
mendovo	Мендово
menenk'ovo	Мененково
menfi	Менфи
mengishevo	Менгишево
tsenino	Ценино
merdanya	Мерданя
merichleri	Меричлери
merilkovtsi	Мерилковци
merton	Камден
zupanja	Жупаня
meshhica	Мещица
svilengrad	Свиленград
messina	Месина
mesta	Места
metkovets	Метковец
zlataritsa	Златарица
metlichka	Метличка
metlika	Метлика
metodievo	Методиево
metokhiya	Метохия
metz	Мец
mexico	Мексико
meykovo	Мейково
mezdra	Мездра
mezdreja	Мездрея
sotirya	Сотирия
mezek	Мезек
zhernov	Жернов
valencia	Валенсия
mezhden	Межден
yaroslavtsi	Ярославци
michkovtsi	Мишковци
middlesbrough	Мидълсбро
mikhajlovo	Михайлово
mikhalaki-georgievo	Михалаки-Георгиево
mikhalchetata	Михалчетата
mikhalci	Михалци
stavertsi	Ставерци
zhelez	Желез
mikhaltsi	Михалци
mikhaylovo	Михайлово
mikhaylovtsi	Михайловци
mikhiltsi	Михилист
voynika	Войника
viskyar	Вискяр
mikre	Микре
mikrevo	Микрево
teshel	Тешел
mikromilea	Устица
stambolovo	Стамболово
miladinovo	Миладиново
ugurchin	Угърчин
zheravitsa	Жеравица
milanovo	Миланово
mile	Миле
milencha	Миленча
miletich	Милетич
milevo	Милево
milevtsi	Милевци
milino	Милино
milkovica	Милковица
milkovitsa	Милковица
milkovo	Милково
tonchevtsi	Тончевци
milkovtsi	Милковци
miloslavtsi	Милославци
milpitas	Милпитас
milwaukee	Милуоки
zagorichane	Загоричане
mindya	Миндя
minevtsi	Миневци
minkovo	Минково
minneapolis	Минеаполис
minori	Минори
minsk	Минск
zhergovets	Жерговец
mirchovtsi	Мирчовци
miriovets	Мириовец
mirjanci	Мирянци
zimnitsa	Зимница
mirolyubovo	Миролюбови
miromir	Миромир
mirovci	Мировци
topolitsa	Тополица
zvezdel	Звездел
mirovo	Мирово
vransko	Вранско
mirovyane	Мировяне
miryantsi	Мирянци
mishevsko	Мишевско
mishkarete	Мишкарете
mishkovtsi	Мишковци
miskolc	Мишколц
mitino	Митино
mitovska	Митовска
mitrovtsi	Митровци
miykovtsi	Мийковци
miziya	Мизия
mladen	Младен
mladenovtsi	Младеновци
vurbeshnica	Върбешница
topola	Топола
zagrade	Заграде
mlamolovo	Мламолово
mlechanovtsi	Млечановци
stremovo	Стремово
mlechino	Млечино
mlekarevo	Млекарево
zheglartsi	Жегларци
modesto	Модесто
modren	Модрен
moena	Моена
mogadishu	Могадишу
mogila	Могила
mogilata	Могилата
mogilec	Могилец
mogilets	Могилец
mogilica	Могилица
mogilino	Могилино
mogilishte	Могилище
mogilite	Могилите
yarlovitsa	Ярловица
mogilovo	Могилово
mogilyane	Могиляне
mohacs	Мохач
trojanovo	Трояново
mokresh	Мокреш
mokrishhe	Мокрище
mokrishte	Мокрище
molsheim	Молсхайм
mombasa	Момбаса
momchevo	Момчево
momchilgrad	Момчилград
momchilovci	Момчиловци
momchilovo	Момчилово
momchilovtsi	Момчиловци
momino	Момино
zdravets	Здравец
momkovo	Момково
monastir	Монастир
mondovi	Мондови
monevtsi	Моневци
mongolia	Монголия
mons	Монс
montana	Монтана
monterey	Монтерей
monteria	Монтерия
montevideo	Монтевидео
zhilino	Жилино
montreal	Монреал
montreux	Монтрьо
montserrat	Монсерат
morava	Морава
moravica	Моравица
moravitsa	Моравица
moravka	Моравка
moravska	Моравска
troyanovo	Трояново
morjanci	Морянци
surtse	Сърце
morozovo	Морозово
morsko	Морско
mortagonovo	Мортагоново
vasilovtsi	Василковци
moscow	Москва
moshino	Мошино
moshtanets	Мощанец
moskovec	Московец
voghera	Вогера
trebishte	Требище
mostar	Мостар
mostich	Мостич
mostino	Мостино
zelenik	Зеленик
mostovo	Мостово
mosul	Мосул
vodno	Водно
mrachenik	Мраченик
mraketintsi	Мракетинци
strumsko	Струмско
studena	Студена
mramor	Марамор
surpovo	Сърпово
mrezhichko	Мрежичко
mruzetsi	Мръзеци
mszczonow	Мшчонов
mudrec	Мъдрец
mudren	Мъдрен
mudrets	Мъдрец
mudrevo	Мъдрево
veselchane	Веселчане
mudritsa	Мъдрица
muenchen	Мюнхен
tseretsel	Церецел
muglene	Мъглене
muglen	Мъглен
muglishha	Мъглища
muglishta	Мъглища
tsurkva	Църква
mukhovo	Мъхово
muldava	Мулдава
mulhouse	Мюлуз
mumbai	Бомбай
muradiye	Мандър
murchaevo	Мърчаево
murchevo	Мърчево
mureno	Мурено
stradalovo	Страдалово
murgash	Мургаш
varvara	Варвара
murmansk	Мурманск
vladislav	Владислав
strumtsi	Стръмци
murtvinata	Мъртвината
murvodol	Мърводол
murzenite	Мързените
zenica	Зеница
musachevo	Мусачево
muselievo	Муселиево
strazha	Стража
musina	Мусина
musomishha	Мусомища
musomishta	Мусомища
solari	Солари
musurlii	Мъсърлии
vurtop	Въртоп
mutenitsa	Мътеница
mutnitsa	Мътница
mutsya	Муця
muzga	Мъзга
muzhentsi	Мъженци
myadna	Мядна
nachevo	Начево
uglen	Юглен
nadartsi	Надарци
nadezhda	Надежда
starilkovtsi	Старилковци
sturnica	Стърница
vurzilkovtsi	Вързулковци
nairobi	Найроби
vekhtovo	Вехтово
nancy	Нанси
nane	Нане
nanevo	Нанево
nanovica	Нановица
nanovitsa	Нановица
tsurkvishte	Църквище
nantes	Нант
volos	Волос
napa	Напа
zavoya	Завоя
narechen	Наречен
narvik	Нарвик
nasalevtsi	Насалевци
nashville	Нашвил
turnovka	Търновка
vurshilo	Вършило
srednogorska	Средногорска
nauchene	Научене
naum	Наум
teglio	Тельо
navusen	Навъсен
nayden-gerovo	Найден-Герово
naydenovo	Найденово
tomsk	Томск
zaychina	Зайчина
neapolis	Ляпчища
nebeska	Небеска
nedan	Недан
nedelevo	Неделево
nedelino	Неделино
strashimirovo	Страшимирово
nedelkovo	Неделково
nedevtsi	Недевци
nedjalsko	Недялско
nedkovtsi	Недковци
nedoklan	Недоклан
nedyalkovtsi	Недялковци
surnitsa	Сърница
vidanovo	Виданово
negentsite	Негенците
vurkhari	Върхари
negovanovci	Неговановци
negovanovtsi	Неговановци
toulon	Тулон
trunito	Трънито
nejkovo	Нейково
nenkovo	Ненково
nenovo	Неново
nenovtsi	Неновци
surnentsi	Сърненци
zaychari	Зайчари
neshevtsi	Нешевци
nesla	Несла
neuilly-sur-seine	Ньой сюр Сен
stomanci	Стоманци
nevestino	Невестино
turnicheni	Търничени
nevski	Невски
newark	Нюарк
turnovtsa	Търновца
vrata	Врата
neykovo	Нейково
neykovtsi	Нейковци
neynovtsi	Нейновци
neyshabur	Нишапур
vodnjanci	Воднянци
nice	Ница
nichovtsi	Нишовци
stoychovtsi	Стойчовци
nidobrsha	Добърско
niederoesterreich	Долна Австрия
stolnik	Столник
tsegrilovtsi	Цегриловци
nikjup	Никюп
nikoevtsi	Никоевци
nikolaevka	Николаевка
nikolaevo	Николаево
nikola-kozlevo	Никола-Козлево
nikolchovtsi	Николчовци
vinogradets	Виноградец
nikolichevtsi	Николичевци
nikolniki	Николники
vulkan	Вълкан
zvezdets	Звездец
nikopol	Никопол
nikudin	Никудин
nikyup	Никюп
nimes	Ним
nis	Ниш
tashkent	Ташкент
nitra	Нитра
niue	Ниуе
nivishta	нивища
tuzha	Тъжа
nivyanin	Нивянин
nochevo	Ночево
noevci	Ноевци
noevtsi	Ноевци
northampton	Нортхемптън
noseite	Носеите
sukhache	Сухаче
nouvelle-caledonie	Нова Каледония
novachene	Новачене
novachevo	Новачево
novachkini	Новачкини
novak	Новак
zvunche	Звънче
novakovtsi	Новаковци
novgrad	Новград
novogortsi	Новогорци
novoselci	Новоселци
novoselec	Новоселец
novoselets	Новоселец
novoselishhe	Новоселище
villeneuve-d'ascq	Вилньов д'Аск
novosel	Новосел
valledupar	Валедупар
tseperanite	Цепенарите
subkovtsi	Събковци
nozharevo	Ножарево
nozharovo	Ножарово
nozherite	Ножерите
nukus	Нукус
zhivovtsi	Животци
nuuk	Нуук
nyushkovtsi	Нушковци
oakland	Окланд
yudelnik	Юделник
obedinenie	Обединение
obel	Обел
obelya	Обеля
vitanovci	Витановци
obidim	Обидим
obitel	Обител
obninsk	Обнинск
obnova	Обнова
oborishhe	Оборище
sushina	Сушина
obradovtsi	Обрадовци
obretenik	Обретеник
obretkovtsi	Обретковци
obrochishhe	Оброчище
obrochishte	Оброчище
obruchishhe	Обручище
vlasovtsi	Власовци
obzor	Обзор
ochindol	Учиндол
ochusha	Очуша
ocmanlar	Османлар
odense	Одензе
odessa	Одеса
odorovtsi	odorovsi-
odranitsa	Одраница
odrinci	Одринци
odrintsi	Одринци
odrne	Одърне
odurci	Одърци
odurne	Одърне
odurtsi	Одърци
ogled	Оглед
ognen	Огнен
ognjanovo	Огняново
ognyanovo	Огняново
ogoya	Огоя
ogradishte	Оградище
ogradna	Оградна
ograzhden	Огражден
ohrid	Охрид
okhlyuvets	Охлювец
wetzlar	Вецлар
okhrid	Охрид
okoliite	Околиите
okop	Окоп
okorsh	Окорш
zheleznik	Железник
olomouc	Оломоуц
omaha	Омаха
oman	Оман
omarchevo	Омарчево
sushevo	Сушево
tsani-ginchevo	Цани-Гинчево
virove	Вирове
omurtag	Омуртаг
onogur	Оногур
opaka	Опака
opalovo	Опалово
vodolej	Водолей
opanets	Опанец
opan	Опан
opatija	Опатия
opicvet	Опицвет
opitsvet	Опицвет
opletnya	Оплетня
opulchenec	Опълченец
opulchenets	Опълченец
opulchensko	Опълченско
orach	Орач
oradea	Орадя
orania	Орания
oranjestad	Ораниестад
oranovo	Ораново
tsvetnitsa	Цветница
villeneuve	Вилньов
orekhovitsa	Ореховица
orekhovo	Орехово
orel	Орел
oreshak	Орешак
vrbica	Върбица
oreshari	Орешари
vuzel	Възел
oreshe	Ореше
oreshene	Орешене
subashka	Субашка
oreshino	Орешино
oreshitsa	Орещница
oresh	Ореш
oreshnik	Орешник
wlaschiza	Върбица
orizare	Оризаре
orizari	Оризари
orizovo	Оризово
orjakhovec	Оряховец
orjakhovica	Оряховица
orjakhovo	Оряхово
orlando	Орландо
orlandovtsi	Орландовци
orleans	Орлеан
orlica	Орлица
orlino	Орлино
orlintsi	Орлинци
orlitsa	Орлица
orljak	Орляк
orlovec	Орловец
orlovets	Орловец
orlovo	Орлово
sushitsa	Сушица
orlyak	Орляк
orlyane	Орляне
tsonkovtsi	Цонковци
ornicheto	Орничето
orolevite	Оролевите
orsha	Орша
orsoya	Орсоя
orti-makhala	Орти-Махала
ortsevo	Орцево
oryakhovets	Оряховец
oryakhovitsa	Оряховица
oryakhovo	Оряхово
sredsko	Средско
oselna	Оселна
osenarite	Осенарите
osenec	Осенец
osenets	Осенец
osen	Осен
osenovec	Осеновец
osenovets	Осеновец
osenovlag	Осеновлаг
staroselci	Староселци
osetenovo	Осетеново
oshane	Ошане
zdravec	Здравец
osh	Ош
oshtava	Ощава
osikata	Осиката
osikovica	Осиковица
vurbak	Върбак
osikovo	Осиково
osina	Осина
oskrushevo	Оскрушево
oslarka	Осларка
szekesfehervar	Секешфехервар
osmar	Осмар
osoica	Осоица
osoitsa	Осоица
tunkovo	Тънково
ostrava	Острава
ostrec	Острец
ostrets	Острец
ostrica	Острица
ostritsa	Острица
ostrokaptsi	Острокарци
ostrovche	Островче
zhivkovo	Живково
ostrovets	Островец
ostrovica	Островица
ostrovitsa	Островица
ostrov	Остров
ostrovo	Острово
oswiecim	Освиенцим
zlatolist	Златолист
oteshari	Отешари
otets-paisievo	Отец-Паисиево
yaounde	Яунде
ottawa	Отава
svode	Своде
ovchaga	Овчага
ovcharci	Овчарци
ovchari	Овчари
surnevo	Сърнево
ovchartsi	Овчарци
ovchepolci	Овчеполци
ovchepoltsi	Овчеполци
ovchevo	Овчево
oven	Овен
ovnartsi	Овнарци
ovoshhnik	Овощник
zebil	Зебил
ovoshtna	Овощтна
zheden	Жеден
oxford	Оксфорд
zadruga	Задруга
velikdenche	Великденче
padala	Падала
tsinga	Цинга
paderborn	Падерборн
valenciennes	Валансиен
padina	Падина
padine	Падине
zora	Зора
padova	Падуа
paisievo	Малко Паисиево
paisiy	Паисий
pajdushko	Пайдушко
palamarca	Паламарца
stozher	Стожер
palat	Палат
palatnik	Палатник
palatovo	Палатово
palauzovo	Палаузово
pale	Пале
yafo	Яфо
struya	Стуя
turnovtsi	Търновци
trakiec	Тракиец
palmdale	Палмдейл
pamidovo	Памидово
pamporovo	Пампорово
pamukchii	Памукчии
panagyurishte	Панагюрище
tsenovo	Ценово
panaretovci	Панаретовци
panaretovtsi	Панаретовци
panayot-khitovo	Панйот-Хитово
svetlik	Светик
pancharevo	Панчарево
panchevo	Панчево
pandutsite	Пандуците
panevezys	Паневежис
panicharevo	pancharevo
zimnica	Зимница
panicheri	Паничери
usoy	Усой
panichkovo	Паничково
panitsovo	Паницово
panovtsi	Пановци
